province_state,agency,licence_class,attribution,terms_url,checked_date,wells_at_check
OR,OR Dept of Geology & Mineral Industries (DOGAMI),FREE_DISCLAIMER,not stated,https://www.oregon.gov/dogami/geology/pages/index.aspx,2026-09-02,613
PA,PA Dept of Environmental Protection,FREE_DISCLAIMER,not stated,https://www.pa.gov/agencies/dep/data-and-tools/gis,2026-09-02,198726
SD,SD Dept of Agriculture & Natural Resources,UNVERIFIED,not stated,https://danr.sd.gov/Conservation/OilGas/,2026-09-02,2136
TN,TN Dept of Environment & Conservation,UNVERIFIED,not stated,https://tdeconline.tn.gov/arcgis/rest/services/Oil_and_Gas2/MapServer,2026-09-02,15649
TX,TX Railroad Commission (RRC),FREE_DISCLAIMER,not stated,https://www.rrc.texas.gov/about-us/faqs/general-faq/digital-map-information-gis-data/,2026-09-02,716755
UT,"UT Div of Oil, Gas & Mining (DOGM)",FREE_DISCLAIMER,not stated,https://opendata.utah.gov/Energy-Environment/DOGM-Oil-And-Gas-Wells-in-Utah/kn55-epv6,2026-09-02,40048
VA,"VA Dept of Mines, Minerals and Energy",FREE_DISCLAIMER,"REQUESTED - ""Please cite Virginia Dept. of Mines, Minerals and Energy""",https://energy.virginia.gov/gas-oil/,2026-09-02,8415
WA,WA Dept of Natural Resources,FREE_DISCLAIMER,YES - WGS publishes CITATION GUIDELINES; follow them,https://dnr.wa.gov/washington-geological-survey/publications-and-data/disclaimers-and-citation-guidelines,2026-09-02,809
WV,WV Dept of Environmental Protection,FREE_DISCLAIMER,not stated,https://dep.wv.gov/oil-and-gas/databaseinfo/Pages/GIS-Data-Download-and-Information-Link.aspx,2026-09-02,118126
WY,WY Oil & Gas Conservation Commission (WOGCC),UNVERIFIED,not stated,https://wogcc.wyo.gov/public-resources,2026-09-02,210203
