directory,files,size_mb,newest_file,agency_from_filenames,source_url_in_folder,confidence,state,wells_in_master,official_url,url_status,terms_url,attribution_required,restrictions,terms_checked
Illinois,1,21.5,2026-06-05,IL State Geological Survey (ISGS),,filename only,IL,654033,https://clearinghouse.isgs.illinois.edu/,200,https://isgs.illinois.edu/terms-of-use/,YES - ISGS must be credited in all cases,copyright may be held by Univ of Illinois Board of Trustees; use beyond fair use needs written permission and MAY REQUIRE A LICENCE FEE; must be obtained from ISGS or an authorised distributor,2026-09-02
Indiana,4,17.5,2026-06-12,IN Dept of Natural Resources (gisdata.in.gov),https://gisdata.in.gov/server/rest/services,source URL,IN,0,https://www.in.gov/dnr/oil-and-gas/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Indiana(Limited Data),1,5.4,2026-05-31,IN DNR (PDMS export),,inferred - verify,IN,0,https://www.in.gov/dnr/oil-and-gas/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Kansas,1,155.5,2026-05-03,KS Geological Survey,,filename only,KS,514136,https://www.kgs.ku.edu/PRS/petroDB.html,200,https://www.kgs.ku.edu/General/copyright.html,"YES - exact wording: ""The source of this material is the Kansas Geological Survey website at http://www.kgs.ku.edu/. All Rights Reserved.""","redistribution EXPLICITLY GRANTED free of charge, incl. publish, modify, create derivatives; data as-is, no warranty; unlawful to claim copyright in KGS material; KGS retains royalty-free perpetual rights in the original",2026-09-02
Kentucky,1,17.0,2026-06-05,KY Geological Survey,,filename only,KY,135930,https://kygs.uky.edu/data/oilgas/,200,https://kygs.uky.edu/data/ogwells_info,YES - copyright notice and documentation must travel with the data,"COPYRIGHT Kentucky Geological Survey / University of Kentucky. Right granted to USE the data to produce maps, charts and reports. Redistribution granted ONLY in ORIGINAL FORM, unmodified, with the documentation, copyright notice and disclaimer included. Redistributing a MODIFIED or derived copy is not covered by that grant.",2026-09-02
Louisiana,12,1076.6,2026-06-12,LA (SONRIS / LTRC map server),https://maps.dotd.la.gov/ltrcserver/rest/services/,source URL in folder,LA,208551,https://www.sonris.com/,200,https://www.denr.louisiana.gov/page/sonris-guides,not stated,"SONRIS public data; no warranty of any kind, express or implied; no explicit redistribution limit located",2026-09-02
Maryland,5,0.0,2026-06-12,HIFLD via NASA NCCS,https://maps.nccs.nasa.gov/mapping/rest/services/hifld_open/energy/FeatureServer/15/query | https://openenergyhub.ornl.gov/explore/dataset/oil-and-natural-gas-wells/,source URL in folder,MD,0,https://maps.nccs.nasa.gov/mapping/rest/services/hifld_open/energy/FeatureServer,200,https://hifld-geoplatform.hub.arcgis.com/pages/hifld-terms-of-use,VERIFY per layer,"HIFLD is an AGGREGATOR, not the originator. Terms VARY BY LAYER and some HIFLD data carries COPYRIGHT RESTRICTIONS - the item details for the specific layer govern. Credit the originating agency as well as HIFLD.",2026-09-02
Michigan,3,97.3,2026-05-22,"MI Dept of Environment, Great Lakes & Energy (EGLE)",,filename only,MI,5465,https://www.michigan.gov/egle/about/organization/geologic-resources-management/oil-and-gas/well-data,200,https://www.michigan.gov/egle/maps-data/geowebface,not stated,shapefiles updated nightly via GeoWebFace FTP and the State of Michigan GIS Open Data Portal; EGLE Terms of Use apply to GeoWebFace; maps and data subject to change without notice,2026-09-02
Mississippi,10,9.8,2026-06-06,HIFLD (orig: Oak Ridge & Argonne National Laboratory),https://hifld-geoplatform.opendata.arcgis.com | https://gii.dhs.gov/HIFLD,ESRI metadata originator,MS,10143,https://hifld-geoplatform.opendata.arcgis.com/,200,https://hifld-geoplatform.hub.arcgis.com/pages/hifld-terms-of-use,VERIFY per layer,"HIFLD is an AGGREGATOR, not the originator. Terms VARY BY LAYER and some HIFLD data carries COPYRIGHT RESTRICTIONS - the item details for the specific layer govern. Credit the originating agency as well as HIFLD.",2026-09-02
Missouri,2,5.8,2026-06-05,MO Dept of Natural Resources,,inferred - verify,MO,10367,https://dnr.mo.gov/land-geology/geology/oil-gas-resources,200,https://dnr.mo.gov/land-geology/maps-data-research/geosciences-technical-resource-assessment-tool-geostrat,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02
Montana,16,57.7,2026-06-12,MT Board of Oil & Gas Conservation (BOGC),,inferred - verify,MT,41943,https://bogwebfiles.dnrc.mt.gov/GISData/,200,https://bogwebfiles.dnrc.mt.gov/GISData/_Data%20Source%20and%20Disclaimer.pdf,not stated,GIS files published openly; a '_Data Source and Disclaimer.pdf' sits beside the data and is the governing text - READ IT before publishing,2026-09-02
Nebraska,7,142.7,2026-05-22,NE Oil & Gas Conservation Commission,,filename only,NE,22592,https://nednr.nebraska.gov/dynamic/Wells/Wells,200,https://dwee.nebraska.gov/about/public-records-searches,not stated,wells search / public records via NE DWEE; no explicit terms-of-use page located - VERIFY,2026-09-02
Nevada,8,2.3,2026-06-05,NV Div of Minerals,,filename only,NV,740,https://minerals.nv.gov/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
New Texas,6900,4370.1,2026-06-12,TX Railroad Commission (RRC),,confirmed by Perry,TX,716755,https://www.rrc.texas.gov/resource-center/research/data-sets-available-for-download/,200,https://www.rrc.texas.gov/about-us/faqs/general-faq/digital-map-information-gis-data/,not stated,"public records, free of charge; no warranty; user responsible for accuracy and conversion; no redistribution limit stated",2026-09-02
New York,1,29.8,2026-06-03,NY State Dept of Environmental Conservation,,filename only,NY,46320,https://dec.ny.gov/environmental-protection/oil-gas/wells-data-geographical-information/downloadable-data,200,https://gisservices.dec.ny.gov/gis/maw/help/OilandGasMetadata.html,not stated,"wellspublic.csv updated nightly, free; use subject to DEC disclaimer; not field verified, expected within 100 m; not for precise distance determination",2026-09-02
NewMexico,36,766.2,2026-05-24,NM Oil Conservation Division (OCD),,filename only,NM,140605,https://www.emnrd.nm.gov/ocd/ocd-data/,200,https://www.emnrd.nm.gov/ocd/ocd-data/,not stated,publicly available data and documents via OCD data server / FTP; no explicit terms-of-use page located,2026-09-02
North_Dakota,143,80.8,2026-06-07,"ND Industrial Commission, Oil & Gas Division",,filename only,ND,43527,https://gis.dmr.nd.gov/gisdownload.asp,200,https://gishubdata.nd.gov/group/oil-and-gas-division,not stated,"downloadable CSV/GeoJSON/shapefile plus WMS/WFS; constraint ""Not to be used for navigation, for informational purposes only""",2026-09-02
Ohio,7,841.1,2026-05-24,OH Dept of Natural Resources (ODNR),,inferred - verify,OH,239520,https://ohiodnr.gov/business-and-industry/services-to-business-industry/data-records/metadata-downloads,200,https://ohiodnr.gov/well-locator,YES - must be referenced when used to compile OTHER datasets or maps for distribution or publication,ODNR RESERVES PUBLICATION RIGHTS; derived datasets must cite ODNR; ODNR not responsible for accuracy,2026-09-02
Oklahoma,10,2115.7,2026-05-17,OK Corporation Commission (RBDMS),,filename only,OK,442003,https://oklahoma.gov/occ/divisions/oil-gas/oil-gas-data.html,200,https://oklahoma.gov/occ/divisions/oil-gas/gis-data-and-maps.html,not stated,"publicly available data files, free download (RBDMS); no explicit terms-of-use page located; treat as state public records",2026-09-02
Oregon,2,0.3,2026-06-05,OR Dept of Geology & Mineral Industries (DOGAMI),,filename only,OR,613,https://www.oregon.gov/dogami/mlrr/pages/oilgas-logs.aspx,200,https://www.oregon.gov/dogami/geology/pages/index.aspx,not stated,no warranty express or implied; distribution does not constitute a warranty; not for site-specific studies; DOGAMI not liable for improper use,2026-09-02
Pacific Offshore,1,0.1,2026-06-08,BSEE / BOEM,,filename only,OFF-PAC,0,https://www.data.boem.gov/Main/Well.aspx,200,https://www.data.boem.gov/,not stated,"US federal agency data, works of the US government are not subject to copyright; disclaimer shown before download; raw data suggested only for advanced users",2026-09-02
Pennsylvania,1,57.4,2026-05-21,PA Dept of Environmental Protection,,filename only,PA,0,https://www.pa.gov/agencies/dep/data-and-tools/reports/oil-and-gas-reports,200,https://www.pa.gov/agencies/dep/data-and-tools/gis,not stated,"DEP GIS Open Data Portal - publicly published non-sensitive data, explicitly may be downloaded, embedded in your own applications and shared; DEP disclaims liability for errors or omissions",2026-09-02
South Dakota,79,44.4,2026-06-05,SD Dept of Agriculture & Natural Resources,,filename only,SD,2136,https://danr.sd.gov/Conservation/OilGas/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Tennesee,5,2.3,2026-06-12,TN Dept of Environment & Conservation,https://tdeconline.tn.gov/arcgis/rest/services/Oil_and_Gas2/MapServer/0/query,source URL,TN,15649,https://www.tn.gov/environment/mineral-geologic/oil-gas/data-map-viewers.html,200,https://tdeconline.tn.gov/arcgis/rest/services/Oil_and_Gas2/MapServer,not stated,TDEC Dataviewers published for public transparency; no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02
Texas,7421,45451.0,2026-06-12,TX Railroad Commission (RRC),,confirmed by Perry,TX,716755,https://www.rrc.texas.gov/resource-center/research/data-sets-available-for-download/,200,https://www.rrc.texas.gov/about-us/faqs/general-faq/digital-map-information-gis-data/,not stated,"public records, free of charge; no warranty; user responsible for accuracy and conversion; no redistribution limit stated",2026-09-02
Utah,1,11.3,2026-05-31,"UT Div of Oil, Gas & Mining (DOGM)",,filename only,UT,40048,https://oilgas.ogm.utah.gov/pub/database_download_read/1-Well_Data_Download_ReadMe.pdf,200,https://opendata.utah.gov/Energy-Environment/DOGM-Oil-And-Gas-Wells-in-Utah/kn55-epv6,not stated,publicly available; DOGM asks users to verify against scanned well files; also published on Utah Open Data and UGRC SGID,2026-09-02
Virginia,2,4.3,2026-06-05,VA Dept of Energy,,inferred - verify,VA,0,https://energy.virginia.gov/gas-oil/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Washington,5,0.3,2026-06-12,WA Dept of Natural Resources,https://gis.dnr.wa.gov/site1/rest/services/Public_Geology/Oil_and_Gas_Wells/MapServer,source URL,WA,809,https://dnr.wa.gov/washington-geological-survey/earth-resources/oil-and-gas-resources,200,https://dnr.wa.gov/washington-geological-survey/publications-and-data/disclaimers-and-citation-guidelines,YES - WGS publishes CITATION GUIDELINES; follow them,"WGS disclaims all warranties; intended as a general screening tool, not site-specific advice; citation guidelines published alongside the disclaimer",2026-09-02
West Virginia,10,311.6,2026-06-05,WV Dept of Environmental Protection,,filename only,WV,118126,https://tagis.dep.wv.gov/home/Downloads/,200,https://dep.wv.gov/oil-and-gas/databaseinfo/Pages/GIS-Data-Download-and-Information-Link.aspx,not stated,free to the general public; WVDEP does not guarantee accuracy/completeness and is not liable; no redistribution limit located,2026-09-02
Wyoming,55,786.0,2026-05-23,WY Oil & Gas Conservation Commission (WOGCC),,filename only,WY,210203,https://dataexplorer.wogcc.wyo.gov/,200,https://wogcc.wyo.gov/public-resources,not stated,no explicit terms-of-use page located; Wyoming public records; VERIFY with WOGCC before publishing,2026-09-02
